"","X","logFC","logCPM","PValue","FDR"
"150","ENSG00000250538",-6.43769005894223,1.26778205718123,2.13768980082666e-40,4.10721467065495e-38
"152","ENSG00000134548",-6.2090391073175,3.99784549133767,3.56911050221332e-40,6.76722136011762e-38
"154","ENSG00000167676",-6.1594476764021,9.74395569779347,4.41856973045816e-40,8.26903763842883e-38
"155","ENSG00000160808",-6.14772336170981,5.16693857111655,6.19362589380659e-40,1.15161482748068e-37
"158","ENSG00000036448",-6.11696271911191,5.74683821296411,1.11377728488741e-39,2.03158616142122e-37
"159","ENSG00000165197",-6.14443044736897,3.92818386798869,1.26434729287547e-39,2.29172886670886e-37
"160","ENSG00000158022",-6.2011718764102,2.50426673312109,1.8308300420045e-39,3.29778261316061e-37
"161","ENSG00000198650",-6.08171262897135,6.38889895391713,2.14324178765444e-39,3.83653592050938e-37
"162","ENSG00000126545",-6.32388273621443,1.10143042017102,2.93737782662261e-39,5.22563141748541e-37
"163","ENSG00000166862",-6.49618418363075,0.484844292639905,3.65707601586068e-39,6.46606937282852e-37
"164","ENSG00000181195",-6.13944080897159,2.4577286673785,4.77778294180899e-39,8.39607953554482e-37
"171","ENSG00000277737",-6.24893155888881,0.602871049969423,2.32883125350984e-38,3.92496589041833e-36
"172","ENSG00000257046",-6.99771431895751,-0.725111907826074,2.94080956517953e-38,4.92756579467873e-36
"176","ENSG00000186466",-6.16509935165205,0.732001703507692,6.62498523229857e-38,1.08484133178889e-35
"177","ENSG00000265751",-7.47353475239841,-1.11094954291068,7.43204836920482e-38,1.21012222599143e-35
"184","ENSG00000286322",-6.14712231676483,0.672520749459587,2.31547086162027e-37,3.62673207782045e-35
"187","ENSG00000205754",-6.82743079312627,-0.764337938811139,3.24752724287372e-37,5.00501257431127e-35
"188","ENSG00000187481",-7.78794547478377,-1.42938991584092,4.39319346144278e-37,6.73467210419048e-35
"192","ENSG00000144644",-6.08453279943389,0.71127413467899,7.4489422607329e-37,1.11811727059543e-34
"196","ENSG00000280323",-7.08353879838188,-1.05025543691544,1.12746527235091e-36,1.65783414026292e-34
"204","ENSG00000286452",-7.93601872987499,-1.72375731244164,1.03242444215398e-35,1.45855256974891e-33
"218","ENSG00000226482",-6.71298556761868,-1.27561212129073,1.2926132414422e-34,1.70885842286075e-32
"219","ENSG00000181997",-6.32907330820396,-0.814442663023987,1.88533225318185e-34,2.48106280989501e-32
"221","ENSG00000188716",-6.32687041051549,-0.667979233926647,2.71398416938483e-34,3.53923184441949e-32
"248","ENSG00000116981",-6.07395684928553,-0.815589954844361,1.79107308897688e-32,2.08140025904491e-30
"278","ENSG00000267603",-6.81939644844402,-1.96541086794265,7.57007476974602e-31,7.84782571453526e-29
"333","ENSG00000278445",-6.31281431099258,-2.13245461212293,4.23213717914502e-28,3.66276857366245e-26
"349","ENSG00000286523",-6.43212347736541,-2.29773895766144,1.54360139273708e-27,1.27468745383044e-25
"352","ENSG00000111241",-6.93609941320148,-2.56693184966293,1.90574021138502e-27,1.56032479807148e-25
"365","ENSG00000226094",-6.35638514557539,-2.33670828084424,4.27682164603226e-27,3.37693150242876e-25
"530","ENSG00000251325",-6.30823566785482,-3.05740427530352,1.63420270657853e-22,8.88636264218741e-21
